Name,Rookie,JN,BD,BD_Y,Hgt,Wgt,Pos,Team,GP,G,A,PTS,Pts/G,+/-,PPG,PPA,PPP,SHG,SHA,SHPTS,GWG,ENG,PIM,Active
Calvin Crombie,NO,14,2005-09-03,2005,6,186,RW,Brantford Bulldogs,60,14,12,26,0.43,11,0,1,1,0,0,0,2,0,74,1
Bode Stewart,NO,71,2006-02-09,2006,6.01,169,LW,Barrie Colts,57,13,13,26,0.46,-8,1,0,1,1,0,1,1,0,23,1
Alex Kostov,NO,47,2006-06-03,2006,6.03,192,RW,Flint Firebirds,66,12,14,26,0.39,-4,1,0,1,4,0,4,2,1,65,1
Nolan Collins,NO,77,2004-04-28,2004,6.04,205,D,Sudbury Wolves,65,6,20,26,0.4,20,0,0,0,0,1,1,1,0,60,1
Lucas Moore,NO,4,2005-06-07,2005,5.1,185,D,Brantford Bulldogs,66,5,21,26,0.39,24,2,5,7,0,0,0,0,0,47,1
Carson Cameron,YES,15,2007-06-27,2007,6,171,D,Peterborough Petes,59,4,22,26,0.44,-35,0,11,11,1,0,1,1,0,54,1
Zach Wigle,NO,9,2004-01-12,2004,6,193,C,Barrie Colts,63,18,7,25,0.4,0,0,0,0,3,0,3,1,0,8,1
Luca Testa,NO,91,2006-04-10,2006,6,172,C,Brantford Bulldogs,48,14,11,25,0.52,6,5,1,6,0,0,0,1,0,28,1
Brice Cooke,NO,8,2004-03-23,2004,6.02,202,C,North Bay Battalion,63,13,12,25,0.4,-12,0,2,2,0,0,0,2,0,18,1
Frankie Marrelli,NO,8,2006-02-16,2006,5.11,187,D,Ottawa 67's,60,9,16,25,0.42,30,2,2,4,1,0,1,1,1,62,1
Thomas Stewart,NO,22,2003-01-06,2003,6.02,187,D,Barrie Colts,69,8,17,25,0.36,17,1,1,2,0,0,0,1,0,66,1
Daniil Sobolev,NO,13,2003-03-03,2003,6.01,223,D,Brantford Bulldogs,64,7,18,25,0.39,6,0,1,1,1,2,3,0,0,63,1
Kyle Morey,NO,17,2005-06-27,2005,5.11,160,C,Barrie Colts,67,7,18,25,0.37,2,0,1,1,0,0,0,3,0,18,1
Roberto Mancini,NO,55,2003-07-08,2003,6.04,215,D,Flint Firebirds,64,5,20,25,0.39,4,2,4,6,0,2,2,0,0,66,1
Shamar Moses,YES,78,2007-05-06,2007,6.01,208,RW,Barrie Colts,66,5,20,25,0.38,-21,2,9,11,0,0,0,1,0,42,1
James Petrovski,NO,28,2005-08-12,2005,6.04,190,D,Owen Sound Attack,63,4,21,25,0.4,3,1,6,7,0,2,2,0,0,43,1
Taos Jordan,NO,24,2004-03-29,2004,5.11,187,D,Owen Sound Attack,68,4,21,25,0.37,-3,2,3,5,0,0,0,0,0,57,1
Parker Von Richter,NO,6,2006-05-17,2006,6.01,183,D,Mississauga Steelheads,65,3,22,25,0.38,1,1,5,6,0,0,0,1,0,35,1
Antonino Pugliese,NO,44,2004-04-09,2004,5.09,179,RW,Kitchener Rangers,64,15,9,24,0.38,12,1,0,1,2,0,2,4,0,65,1
Ben Cormier,NO,8,2006-07-20,2006,6,177,C,Owen Sound Attack,65,14,10,24,0.37,-13,1,2,3,0,0,0,2,1,4,1
Ethan Hay,NO,68,2005-01-15,2005,6.01,195,C,Saginaw Spirit,67,12,12,24,0.36,1,2,1,3,1,1,2,4,0,68,1
Brody Crane,NO,29,2004-05-29,2004,5.11,185,LW,Guelph Storm,47,10,14,24,0.51,-16,1,3,4,0,0,0,1,0,8,1
Kaleb Smith,NO,20,2004-05-14,2004,6,188,RW,Erie Otters,68,10,14,24,0.35,-4,0,0,0,0,1,1,3,0,38,1
Ihnat Pazii,YES,13,2006-12-04,2006,5.08,155,LW,North Bay Battalion,63,9,15,24,0.38,5,1,1,2,0,0,0,3,0,29,1
Ivan Galiyanov,YES,92,2007-10-16,2007,5.09,154,LW,Niagara IceDogs,60,8,16,24,0.4,-30,0,1,1,1,1,2,0,0,13,1
Matthew Mayich,NO,22,2004-12-21,2004,6.02,197,D,Ottawa 67's,66,6,18,24,0.36,14,0,1,1,1,1,2,0,0,77,1
Paul Christopoulos,NO,4,2003-03-26,2003,5.1,203,D,North Bay Battalion,68,3,21,24,0.35,32,0,0,0,0,1,1,1,0,28,1
Kai Schwindt,NO,20,2003-12-17,2003,6.03,195,LW,Sarnia Sting,33,13,10,23,0.7,-1,6,2,8,0,0,0,0,0,30,1
Caden Taylor,YES,19,2007-03-31,2007,6.02,185,LW,Peterborough Petes,58,12,11,23,0.4,-24,4,4,8,0,0,0,0,0,34,1
Marc Boudreau,NO,89,2003-04-29,2003,6.02,190,LW,Mississauga Steelheads,64,12,11,23,0.36,12,0,0,0,0,0,0,1,0,86,1
Gavin Grundner,NO,16,2004-05-12,2004,6,179,LW,Guelph Storm,59,7,16,23,0.39,14,0,1,1,0,1,1,0,1,27,1
Matthew Mania,NO,93,2005-01-11,2005,6.01,190,D,Sudbury Wolves,45,4,19,23,0.51,4,2,5,7,0,0,0,0,0,28,1
Cameron Reid,YES,18,2007-04-08,2007,6,175,LD,Kitchener Rangers,49,2,21,23,0.47,18,0,2,2,0,0,0,0,0,17,1
Julian Fantino,NO,27,2004-02-05,2004,6.01,200,RW,Soo Greyhounds,58,12,10,22,0.38,10,0,0,0,0,0,0,2,0,37,1
Carter Kostuch,YES,18,2007-04-21,2007,5.11,157,LW,Sarnia Sting,65,11,11,22,0.34,-17,3,2,5,0,0,0,1,0,23,1
Chris Barlas,NO,9,2005-01-10,2005,5.1,185,LW,Ottawa 67's,54,10,12,22,0.41,12,2,1,3,0,0,0,0,1,46,1
Luca Romano,YES,86,2007-06-25,2007,5.11,168,C,Kitchener Rangers,56,10,12,22,0.39,1,2,2,4,0,0,0,0,1,8,1
Chase Coughlan,NO,9,2005-06-17,2005,5.11,192,RW,Sudbury Wolves,61,10,12,22,0.36,6,0,0,0,0,0,0,2,0,87,1
Braden Haché,NO,6,2003-05-21,2003,6.03,210,D,Saginaw Spirit,65,9,13,22,0.34,27,0,0,0,0,0,0,1,0,89,1
Caeden Carlisle,NO,7,2004-01-31,2004,6.02,197,D,Soo Greyhounds,66,4,18,22,0.33,19,0,1,1,0,1,1,1,0,74,1
Urban Podrekar,NO,86,2005-02-14,2005,5.11,181,D,Niagara IceDogs,62,3,19,22,0.35,-32,0,4,4,0,3,3,0,0,30,1
Jack Dever,NO,18,2005-09-05,2005,5.1,175,RW,Ottawa 67's,55,9,12,21,0.38,-1,1,2,3,1,1,2,2,2,2,1
Jack Brauti,YES,6,2006-05-24,2006,6,165,D,Barrie Colts,62,9,12,21,0.34,-8,1,2,3,1,0,1,0,0,60,1
Thomas Budnick,NO,22,2004-02-14,2004,6.01,210,D,Guelph Storm,63,3,18,21,0.33,3,0,3,3,0,0,0,0,0,82,1
Marko Stojkov,NO,95,2004-08-11,2004,6,170,D,Flint Firebirds,64,2,19,21,0.33,-40,1,6,7,0,0,0,1,0,26,1
Gavin Ewles,NO,7,2005-03-01,2005,6.01,191,D,Flint Firebirds,65,2,19,21,0.32,-10,0,3,3,0,1,1,0,0,32,1
Ryan Brown,YES,23,2007-10-27,2007,5.11,159,LW,Sarnia Sting,49,11,9,20,0.41,-8,0,4,4,0,0,0,0,1,4,1
Leo Serlin,YES,20,2006-01-20,2006,6,186,RW,Guelph Storm,64,10,10,20,0.31,-2,0,5,5,2,0,2,2,0,23,1
Jimmy Lombardi,YES,10,2007-02-16,2007,5.11,149,C,Flint Firebirds,62,7,13,20,0.32,-11,0,2,2,0,0,0,2,0,12,1
Cameron Mercer,NO,14,2005-05-27,2005,6,180,C,Kitchener Rangers,65,6,14,20,0.31,-6,0,1,1,0,0,0,0,0,38,1
William Nicholl,YES,73,2006-05-24,2006,6,170,C,London Knights,65,6,14,20,0.31,-2,0,0,0,0,1,1,0,0,38,1
Tomáš Hamara,NO,9,2004-03-09,2004,6,192,D,Brantford Bulldogs,44,1,19,20,0.45,30,0,5,5,0,0,0,1,0,22,1
Kimi Körbler,YES,24,2006-09-25,2006,5.1,157,RW,Ottawa 67's,60,10,9,19,0.32,7,0,2,2,1,0,1,2,0,14,1
Jakub Chromiak,NO,7,2005-11-02,2005,5.11,183,D,Kingston Frontenacs,55,5,14,19,0.35,-10,0,1,1,0,0,0,1,0,18,1
Justin Bottineau,NO,77,2006-01-11,2006,6,168,LW,Kitchener Rangers,61,5,14,19,0.31,2,0,2,2,0,0,0,1,0,28,1
Grayson Tiller,NO,8,2005-02-20,2005,5.1,190,D,Barrie Colts,61,3,16,19,0.31,-9,0,0,0,0,2,2,0,0,51,1
Owen Protz,YES,12,2006-02-07,2006,6.02,207,D,Brantford Bulldogs,66,3,16,19,0.29,4,0,1,1,0,2,2,1,0,49,1
Quinton Pagé,NO,14,2005-08-03,2005,5.07,169,LW,Peterborough Petes,61,15,3,18,0.3,-31,6,1,7,0,0,0,1,0,24,1
Gage Heyes,NO,9,2004-04-21,2004,5.11,158,RW,Kingston Frontenacs,65,11,7,18,0.28,-11,0,0,0,0,1,1,0,1,64,1
Mitchell Martin,NO,59,2003-01-06,2003,6.04,206,LW,Kitchener Rangers,21,10,8,18,0.86,10,1,1,2,1,0,1,0,0,43,1
Daylen Moses,NO,24,2005-06-13,2005,6.02,180,C,Sarnia Sting,50,9,9,18,0.36,-18,0,0,0,1,0,1,2,1,56,1
Jack Nesbitt,YES,71,2007-01-12,2007,6.04,183,C,Windsor Spitfires,58,9,9,18,0.31,-32,3,2,5,0,0,0,0,0,58,1
Djibril Toure,NO,67,2003-06-05,2003,6.07,203,D,Windsor Spitfires,45,8,10,18,0.4,15,0,0,0,0,1,1,0,0,69,1
Jacob Holmes,NO,47,2003-07-04,2003,6.02,211,D,Kingston Frontenacs,54,8,10,18,0.33,-8,5,4,9,0,0,0,0,0,28,1
Nic Sima,NO,92,2005-03-31,2005,6.03,200,RW,Saginaw Spirit,60,8,10,18,0.3,3,1,1,2,0,0,0,0,1,45,1
